title,price,stock,rating,category
Essence Mascara Lash Princess,9.99,99,2.56,beauty
Eyeshadow Palette with Mirror,19.99,34,2.86,beauty
Powder Canister,14.99,89,4.64,beauty
Red Lipstick,12.99,91,4.36,beauty
Red Nail Polish,8.99,79,4.32,beauty
Calvin Klein CK One,49.99,29,4.37,fragrances
Chanel Coco Noir Eau De,129.99,58,4.26,fragrances
Dior J'adore,89.99,98,3.8,fragrances
Dolce Shine Eau de,69.99,4,3.96,fragrances
Gucci Bloom Eau de,79.99,91,2.74,fragrances
Annibale Colombo Bed,1899.99,88,4.77,furniture
Annibale Colombo Sofa,2499.99,60,3.92,furniture
Bedside Table African Cherry,299.99,64,2.87,furniture
Knoll Saarinen Executive Conference Chair,499.99,26,4.88,furniture
Wooden Bathroom Sink With Mirror,799.99,7,3.59,furniture
Apple,1.99,8,4.19,groceries
Beef Steak,12.99,86,4.47,groceries
Cat Food,8.99,46,3.13,groceries
Chicken Meat,9.99,97,3.19,groceries
Cooking Oil,4.99,10,4.8,groceries
Cucumber,1.49,84,4.07,groceries
Dog Food,10.99,71,4.55,groceries
Eggs,2.99,9,2.53,groceries
Fish Steak,14.99,74,3.78,groceries
Green Bell Pepper,1.29,33,3.25,groceries
Green Chili Pepper,0.99,3,3.66,groceries
Honey Jar,6.99,34,3.97,groceries
Ice Cream,5.49,27,3.39,groceries
Juice,3.99,50,3.94,groceries
Kiwi,2.49,99,4.93,groceries
